invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-50980700050,2022-09-06,4467,KUM & GO #438 / MUSCATINE,1429 PARK AVE,MUSCATINE,52761,POINT(-91.030595 41.441783),,MUSCATINE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-69163100001,2024-04-12,6028,CASEY'S GENERAL STORE #2686 / FORT DODGE,3327 5TH AVE S.,FORT DODGE,50501.0,POINT(-94.144208019 42.500846992),,WEBSTER,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-45439200119,2022-08-02,2576,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588.0,POINT(-95.200758 42.653184),,BUENA VISTA,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-61103500001,2023-08-09,5003,FAMOUS LIQUORS,2604 W LOCUST ST,DAVENPORT,52804.0,POINT(-90.615705983 41.539010988),,SCOTT,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-50016600282,2022-08-03,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021.0,,,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-39495800001,2021-08-24,4524,CASEY'S GENERAL STORE #1139 / NORA SPRINGS,14 E CONGRESS,NORA SPRINGS,50458.0,POINT(-93.005225 43.142731),34,FLOYD,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-71339300001,2024-06-18,5630,CASEY'S GENERAL STORE #3009 / SIOUX CITY,4301 STONE AVE,SIOUX CITY,51106.0,POINT(-96.351530001 42.479563999),,WOODBURY,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-71252200001,2024-06-16,4792,CASEY'S GENERAL STORE #2899 / DE SOTO,1100 GREENE ST,DE SOTO,50069.0,POINT(-94.0153321 41.5287782),,DALLAS,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-47539400040,2022-05-17,4265,KWIK STOP 3 / WATERLOO,1104 WASHINGTON ST,WATERLOO,50702.0,POINT(-92.336965 42.489106),7,BLACK HAWK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-49147900004,2022-07-12,5829,CASEY'S GENERAL STORE #3858 - IOWA CITY,370 SCOTT CT,IOWA CITY,52245,POINT(-91.482149 41.657452),52,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
